Unemployment,Income inequality,FIPS,Air pollution - particulate matter,State,Population that is not proficient in English
0.05,,1117,12.83,AL,0.018
0.044,4.051,1117,12.83,AL,0.02
0.064,,1115,12.78,AL,0.007
0.056,4.061,1115,12.78,AL,0.006
0.116,,1119,12.85,AL,0.002
0.099,5.659,1119,12.85,AL,0.006
0.081,,1121,12.87,AL,0.003
0.071,5.005,1121,12.87,AL,0.005
0.085,,1123,12.94,AL,0.008
0.077,4.702,1123,12.94,AL,0.008
0.066,,1125,12.71,AL,0.015
0.058,5.283,1125,12.71,AL,0.013
0.075,,1127,12.54,AL,0.005
0.066,4.656,1127,12.54,AL,0.006
0.114,,1129,12.86,AL,0.003
0.102,5.111,1129,12.86,AL,0.003
0.164,,1131,12.94,AL,0.001
0.156,6.767,1131,12.94,AL,0.0
0.098,,1133,12.36,AL,0.007
0.089,4.802,1133,12.36,AL,0.007
0.077,,5001,12.27,AR,0.012
0.067,4.145,5001,12.27,AR,0.006
0.125,,5003,12.0,AR,0.008
0.118,4.785,5003,12.0,AR,0.01
0.077,,5005,11.36,AR,0.002
0.081,4.04,5005,11.36,AR,0.003
0.057,,5007,10.58,AR,0.04
0.057,4.083,5007,10.58,AR,0.039
0.071,,5009,11.08,AR,0.002
0.074,4.133,5009,11.08,AR,0.001
0.101,,5011,11.86,AR,0.024
0.091,5.148,5011,11.86,AR,0.026
0.09,,5013,11.7,AR,0.0
0.091,4.354,5013,11.7,AR,0.0
0.055,,5015,10.85,AR,0.036
0.057,4.234,5015,10.85,AR,0.035
0.104,,5017,12.13,AR,0.008
0.109,5.477,5017,12.13,AR,0.007
0.093,,5019,11.47,AR,0.013
0.09,5.535,5019,11.47,AR,0.006
0.124,,5021,12.63,AR,0.005
0.114,4.327,5021,12.63,AR,0.005
0.072,,5023,11.98,AR,0.006
0.077,4.567,5023,11.98,AR,0.006
0.07,,5025,11.94,AR,0.002
0.079,4.614,5025,11.94,AR,0.002
0.085,,5027,11.28,AR,0.002
0.091,6.046,5027,11.28,AR,0.002
0.076,,5029,11.73,AR,0.009
0.081,5.055,5029,11.73,AR,0.008
0.067,,5031,12.83,AR,0.01
0.069,5.033,5031,12.83,AR,0.01
0.074,,5033,11.15,AR,0.021
0.078,4.255,5033,11.15,AR,0.019
0.112,,5035,12.72,AR,0.002
0.108,5.243,5035,12.72,AR,0.004
0.082,,5037,12.56,AR,0.002
0.083,4.381,5037,12.56,AR,0.002
0.103,,5039,11.72,AR,0.001
0.102,5.227,5039,11.72,AR,0.009
0.105,,5041,12.21,AR,0.018
0.105,5.625,5041,12.21,AR,0.015
0.108,,5043,12.09,AR,0.011
0.106,6.202,5043,12.09,AR,0.009
0.066,,5045,11.9,AR,0.009
0.07,4.398,5045,11.9,AR,0.007
0.067,,5047,11.27,AR,0.001
0.07,4.658,5047,11.27,AR,0.001
0.068,,5049,11.48,AR,0.002
0.073,4.083,5049,11.48,AR,0.001
0.075,,5051,11.53,AR,0.011
0.078,4.966,5051,11.53,AR,0.01
0.065,,5053,11.9,AR,0.007
0.068,4.012,5053,11.9,AR,0.007
0.088,,5055,12.72,AR,0.002
0.089,4.652,5055,12.72,AR,0.001
0.072,,5057,11.15,AR,0.037
0.075,4.972,5057,11.15,AR,0.036
0.065,,5059,11.61,AR,0.003
0.073,4.158,5059,11.61,AR,0.004
0.071,,5061,11.02,AR,0.042
0.073,4.276,5061,11.02,AR,0.036
0.087,,5063,12.16,AR,0.017
0.092,4.621,5063,12.16,AR,0.014
0.082,,5065,11.76,AR,0.003
0.089,4.303,5065,11.76,AR,0.001
0.096,,5067,12.39,AR,0.005
0.102,4.581,5067,12.39,AR,0.001
0.094,,5069,12.15,AR,0.004
0.104,5.265,5069,12.15,AR,0.004
0.068,,5071,11.44,AR,0.031
0.076,4.282,5071,11.44,AR,0.02
0.099,,5073,11.08,AR,0.006
0.104,5.562,5073,11.08,AR,0.006
0.09,,5075,12.4,AR,0.0
0.092,4.344,5075,12.4,AR,0.0
0.113,,5077,12.37,AR,0.005
0.112,5.902,5077,12.37,AR,0.003
0.091,,5079,12.16,AR,0.006
0.09,5.739,5079,12.16,AR,0.007
0.069,,5081,10.82,AR,0.001
0.08,4.421,5081,10.82,AR,0.001
0.076,,5083,11.3,AR,0.006
0.079,4.245,5083,11.3,AR,0.008
0.061,,5085,12.13,AR,0.006
0.064,4.09,5085,12.13,AR,0.006
0.053,,5087,11.24,AR,0.011
0.058,4.56,5087,11.24,AR,0.009
0.081,,5089,11.25,AR,0.0
0.084,3.996,5089,11.25,AR,0.001
0.067,,5091,10.93,AR,0.007
0.074,4.898,5091,10.93,AR,0.003
0.1,,5093,13.2,AR,0.008
0.11,5.697,5093,13.2,AR,0.006
0.084,,5095,12.3,AR,0.005
0.083,5.616,5095,12.3,AR,0.002
0.077,,5097,11.26,AR,0.007
0.08,4.308,5097,11.26,AR,0.007
0.069,,5099,11.32,AR,0.003
0.077,4.958,5099,11.32,AR,0.002
0.075,,5101,11.49,AR,0.001
0.076,4.834,5101,11.49,AR,0.001
0.095,,5103,11.52,AR,0.003
0.094,4.873,5103,11.52,AR,0.005
0.08,,5105,11.65,AR,0.001
0.089,4.414,5105,11.65,AR,0.001
0.109,,5107,12.28,AR,0.001
0.112,5.184,5107,12.28,AR,0.0
0.087,,5109,11.22,AR,0.02
0.088,4.782,5109,11.22,AR,0.019
0.078,,5111,12.72,AR,0.002
0.083,4.971,5111,12.72,AR,0.001
0.077,,5113,10.99,AR,0.016
0.079,4.389,5113,10.99,AR,0.013
0.071,,5115,11.59,AR,0.014
0.078,4.321,5115,11.59,AR,0.019
0.073,,5117,12.25,AR,0.001
0.068,4.447,5117,12.25,AR,0.0
0.066,,5119,11.94,AR,0.018
0.069,5.043,5119,11.94,AR,0.017
0.099,,5121,12.12,AR,0.003
0.094,4.747,5121,12.12,AR,0.003
0.06,,5125,11.76,AR,0.005
0.062,3.681,5125,11.76,AR,0.005
0.066,,5127,11.11,AR,0.02
0.064,4.485,5127,11.11,AR,0.015
0.077,,5129,11.65,AR,0.004
0.077,4.883,5129,11.65,AR,0.004
0.073,,5131,11.09,AR,0.037
0.076,4.586,5131,11.09,AR,0.038
0.078,,5133,10.88,AR,0.12
0.078,3.961,5133,10.88,AR,0.109
0.099,,5135,11.94,AR,0.005
0.103,4.316,5135,11.94,AR,0.01
0.11,,5123,12.47,AR,0.008
0.11,5.186,5123,12.47,AR,0.012
0.097,,5137,11.85,AR,0.007
0.108,4.777,5137,11.85,AR,0.005
0.086,,5139,11.58,AR,0.011
0.085,5.495,5139,11.58,AR,0.011
0.089,,5141,11.79,AR,0.004
0.091,4.5,5141,11.79,AR,0.004
0.054,,5143,11.1,AR,0.047
0.056,5.047,5143,11.1,AR,0.05
0.08,,5145,12.13,AR,0.005
0.087,4.792,5145,12.13,AR,0.006
0.107,,5147,12.33,AR,0.0
0.103,5.327,5147,12.33,AR,0.0
0.06,,5149,11.41,AR,0.07
0.063,4.668,5149,11.41,AR,0.069
0.196,,4001,9.82,AZ,0.051
0.198,6.151,4001,9.82,AZ,0.051
0.082,,4003,9.48,AZ,0.048
0.088,4.926,4003,9.48,AZ,0.048
0.081,,4005,10.48,AZ,0.033
0.081,5.109,4005,10.48,AZ,0.031
0.094,,4007,9.68,AZ,0.013
0.093,4.241,4007,9.68,AZ,0.012
0.089,,4009,9.35,AZ,0.034
0.076,4.536,4009,9.35,AZ,0.037
0.06,,4011,9.58,AZ,0.018
0.062,3.707,4011,9.58,AZ,0.017
0.092,,4012,10.66,AZ,0.06
0.094,3.876,4012,10.66,AZ,0.067
0.071,,4013,9.87,AZ,0.061
0.067,4.535,4013,9.87,AZ,0.057
0.099,,4015,11.46,AZ,0.02
0.096,4.016,4015,11.46,AZ,0.02
0.152,,4017,9.9,AZ,0.043
0.152,5.472,4017,9.9,AZ,0.044
0.073,,4019,9.22,AZ,0.046
0.07,4.806,4019,9.22,AZ,0.043
0.089,,4021,9.24,AZ,0.037
0.086,3.728,4021,9.24,AZ,0.036
0.172,,4023,9.32,AZ,0.206
0.18,5.59,4023,9.32,AZ,0.184
0.086,,4025,10.7,AZ,0.02
0.08,4.146,4025,10.7,AZ,0.02
0.275,,4027,9.92,AZ,0.145
0.277,4.031,4027,9.92,AZ,0.147
0.09,,6001,8.46,CA,0.096
0.074,5.377,6001,8.46,CA,0.093
0.118,,6005,9.4,CA,0.014
0.099,4.39,6005,9.4,CA,0.013
0.122,,6007,8.93,CA,0.03
0.1,4.803,6007,8.93,CA,0.027
0.13,,6009,9.54,CA,0.013
0.104,4.435,6009,9.54,CA,0.009
0.2,,6011,7.55,CA,0.166
0.184,3.735,6011,7.55,CA,0.152
0.09,,6013,8.29,CA,0.068
0.074,4.817,6013,8.29,CA,0.065
0.134,,6015,7.96,CA,0.02
0.116,5.795,6015,7.96,CA,0.028
0.104,,6017,9.5,CA,0.021
0.085,4.476,6017,9.5,CA,0.018
0.152,,6019,9.59,CA,0.129
0.129,5.028,6019,9.59,CA,0.128
0.147,,6021,7.98,CA,0.094
0.122,5.232,6021,7.98,CA,0.101
0.105,,6023,8.19,CA,0.019
0.088,4.722,6023,8.19,CA,0.018
0.283,,6025,9.43,CA,0.202
0.245,5.624,6025,9.43,CA,0.202
0.094,,6027,11.3,CA,0.028
0.081,4.723,6027,11.3,CA,0.031
0.133,,6029,9.21,CA,0.115
0.118,4.973,6029,9.21,CA,0.113
0.153,,6031,8.85,CA,0.118
0.135,4.416,6031,8.85,CA,0.112
0.15,,6033,7.21,CA,0.032
0.119,4.945,6033,7.21,CA,0.03
0.126,,6035,11.12,CA,0.021
0.108,4.273,6035,11.12,CA,0.024
0.109,,6037,8.1,CA,0.154
0.099,5.293,6037,8.1,CA,0.152
0.136,,6039,9.91,CA,0.143
0.114,4.31,6039,9.91,CA,0.144
0.063,,6041,7.5,CA,0.044
0.05,5.538,6041,7.5,CA,0.043
0.11,,6043,10.06,CA,0.009
0.092,4.98,6043,10.06,CA,0.013
0.097,,6045,7.27,CA,0.051
0.077,4.922,6045,7.27,CA,0.051
0.17,,6047,9.05,CA,0.143
0.147,4.568,6047,9.05,CA,0.143
0.135,,6049,9.98,CA,0.031
